CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
554182171,48,BRONX,08/15/2019,10:00:00,08/15/2019,10:20:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/01/2020,1011779,246746,40.84390125500005,-73.900504632,"(40.84390125500005, -73.900504632)"
268295119,73,BROOKLYN,01/06/2020,06:30:00,01/06/2020,07:12:00,COMPLETED,TILDEN,N.Y. HOUSING POLICE,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - PUBLIC HOUSING,01/07/2020,1008276,183623,40.670655072000045,-73.91339091999998,"(40.670655072000045, -73.91339091999998)"
179981452,34,MANHATTAN,12/22/2019,20:00:00,12/22/2019,22:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/04/2020,1002106,249501,40.85148777400008,-73.93545796699993,"(40.85148777400008, -73.93545796699993)"
902605129,73,BROOKLYN,10/07/2019,16:30:00,10/07/2019,19:00:00,COMPLETED,BROWNSVILLE,N.Y. HOUSING POLICE,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - PUBLIC HOUSING,01/09/2020,1008276,183623,40.670655072000045,-73.91339091999998,"(40.670655072000045, -73.91339091999998)"
995297540,47,BRONX,11/01/2004,00:00:00,12/04/2004,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE-HOUSE,01/11/2020,1026387,262634,40.88745131300004,-73.84760778699997,"(40.88745131300004, -73.84760778699997)"
173368534,75,BROOKLYN,09/07/2019,16:00:00,01/07/2020,10:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE-HOUSE,01/07/2020,1017141,183798,40.67110691100004,-73.88143295699997,"(40.67110691100004, -73.88143295699997)"
694617393,47,BRONX,01/07/2020,21:25:00,01/07/2020,21:48:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE-HOUSE,01/08/2020,1026387,262634,40.88745131300004,-73.84760778699997,"(40.88745131300004, -73.84760778699997)"
415867853,28,MANHATTAN,01/02/2012,00:01:00,01/02/2012,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/02/2020,997376,233927,40.80874990400008,-73.95258580599993,"(40.80874990400008, -73.95258580599993)"
730454996,110,QUEENS,11/14/2019,09:00:00,11/14/2019,10:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/06/2020,1020255,210816,40.74525274100006,-73.87006286999997,"(40.74525274100006, -73.87006286999997)"
387316676,47,BRONX,01/06/2020,11:00:00,01/06/2020,12:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/08/2020,1026387,262634,40.88745131300004,-73.84760778699997,"(40.88745131300004, -73.84760778699997)"
750698057,75,BROOKLYN,12/31/2019,12:00:00,01/01/2020,02:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/03/2020,1017141,183798,40.67110691100004,-73.88143295699997,"(40.67110691100004, -73.88143295699997)"
971370888,77,BROOKLYN,08/01/2019,03:00:00,08/01/2019,11:00:00,COMPLETED,,N.Y. HOUSING POLICE,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - PUBLIC HOUSING,01/02/2020,1003606,185050,40.67458330800008,-73.93022154099998,"(40.67458330800008, -73.93022154099998)"
354875076,108,QUEENS,01/04/2020,00:55:00,01/04/2020,01:10:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,FRONT OF,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/04/2020,996793,210001,40.74308016800006,-73.95473646099998,"(40.74308016800006, -73.95473646099998)"
324070352,48,BRONX,06/01/2012,00:00:00,08/31/2012,23:59:00,COMPLETED,MURPHY,N.Y. HOUSING POLICE,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - PUBLIC HOUSING,01/06/2020,1011779,246746,40.84390125500005,-73.900504632,"(40.84390125500005, -73.900504632)"
597297978,41,BRONX,01/05/2020,02:00:00,01/05/2020,11:30:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE-HOUSE,01/05/2020,1013232,236725,40.816391847000034,-73.89529641399997,"(40.816391847000034, -73.89529641399997)"
